course_id,course_name,credits,course_type,Day,start_time,end_time,room_id,room_type,instructor_id,name,qualified_courses
LRA401,Japanese Language (1),1.0,Lecture,Sunday,9:00,10:30,F1.01,Classroom,PROF01,Dr. Reda Elbasiony,CSC111
LRA402,Japanese Language (2),1.0,Lecture,Sunday,10:45,12:15,F1.02,Classroom,PROF02,Dr. Ayman Arafa,"MTH111, ACM215, MTH121, CNC320, CSC321"
LRA403,Japanese Language (3),1.0,Lecture,Sunday,12:29,13:59,F1.20,Classroom,PROF03,Dr. Adel Fathy,"PHY113, PHY123"
LRA404,Japanese Language (4),1.0,Lecture,Sunday,14:15,15:45,F1.21,Classroom,PROF04,Dr. Sherine Elmotasem,LRA101
LRA405,Key Skills Seminar (1),2.0,Lecture,Monday,9:00,10:30,F1.22,Classroom,PROF05,Prof. Ahmed Allam,ECE111
LRA101,Japanese Culture,2.0,Lecture,Monday,10:45,12:15,F1.23,Classroom,PROF06,Dr. Sameh Sherif,"ECE111, BIF411, BIF412, BIF312, BIF322, BIF421"
LRA208,Safety and Risk Management,2.0,Lecture,Monday,12:29,13:59,F1.24,Classroom,PROF07,Dr. Ahmed Arafa,"CSC211, AID413, AID427, CNC411, CSC221, CNC320, CNC321"
LRA102,Introduction to Philosophy,2.0,Lecture,Monday,14:15,15:45,G.01,Classroom,PROF08,Dr. Ahmed Anter,"AID311, SPS315"
LRA103,Fine Arts Appreciation-Drawing and Paintings,2.0,Lecture,Tuesday,9:00,10:30,F1.06,Classroom,PROF09,Prof. Mostafa Soliman,"CSE214, CSC115, CSC315, CNC222, CNC223, CSC429, CSC113"
LRA104,Music and Technology,2.0,Lecture,Tuesday,10:45,12:15,F1.07,Classroom,PROF10,Dr. Ahmed Abdel-Malk,"ECE324, CNC325, ECE214"
LRA105,Theater and Drama,2.0,Lecture,Tuesday,12:29,13:59,F1.10,Classroom,PROF11,Dr. Ahmed Bayumi,"AID428, AID312, CSC415, BIF327, AID412, AID422"
LRA106,Physical Education,2.0,Lecture,Tuesday,14:15,15:45,F1.11,Classroom,PROF12,Dr. Hataba,"CNC418, CNC419, CSC317, CSE423"
LRA107,Selected topics in Japanese arts,2.0,Lecture,Wednesday,9:00,10:30,F1.25,Classroom,PROF13,Dr. Reda,"CNC312, AID426, CSC317, CSC422"
LRA108,Art and Architecture of Ancient Egypt,2.0,Lecture,Wednesday,10:45,12:15,G.41,Classroom,PROF14,Prof. Samir Ahmed,"CNC413, CNC311, CNC323, CNC324, CNC327, AID413"
LRA109,Introduction to Cultural Anthropology,2.0,Lecture,Wednesday,12:29,13:59,F1.04,Classroom,PROF15,Dr. Mohamed Issa,"BIF425, AID417, CNC314, CSC122, BIF321, BIF323, BIF328"
