building,space,capacity,space_type,day,time_slot,course_info,status
Building 07,F1.01,25.0,Classroom,Sunday,9 :00- 9:45,,available
Building 07,F1.01,25.0,Classroom,Sunday,9:45- 10:30,,available
Building 07,F1.01,25.0,Classroom,Sunday,10:45- 11:30,,available
Building 07,F1.01,25.0,Classroom,Sunday,11:30- 12:15,,available
Building 07,F1.01,25.0,Classroom,Sunday,12:30- 1:15,,available
Building 07,F1.01,25.0,Classroom,Sunday,1:15- 2:00,,available
Building 07,F1.01,25.0,Classroom,Sunday,2:15 - 3:00,,available
Building 07,F1.01,25.0,Classroom,Sunday,3:00- 3:45,,available
Building 07,F1.01,25.0,Classroom,Monday,9 :00- 9:45,,available
Building 07,F1.01,25.0,Classroom,Monday,9:45- 10:30,,available
Building 07,F1.01,25.0,Classroom,Monday,10:45- 11:30,,available
Building 07,F1.01,25.0,Classroom,Monday,11:30- 12:15,,available
Building 07,F1.01,25.0,Classroom,Monday,12:30- 1:15,,available
Building 07,F1.01,25.0,Classroom,Monday,1:15- 2:00,,available
Building 07,F1.01,25.0,Classroom,Monday,2:15 - 3:00,,available
Building 07,F1.01,25.0,Classroom,Monday,3:00- 3:45,,available
Building 07,F1.01,25.0,Classroom,Tuesday,9 :00- 9:45,,available
Building 07,F1.01,25.0,Classroom,Tuesday,9:45- 10:30,,available
Building 07,F1.01,25.0,Classroom,Tuesday,10:45- 11:30,,available
Building 07,F1.01,25.0,Classroom,Tuesday,11:30- 12:15,,available
Building 07,F1.01,25.0,Classroom,Tuesday,12:30- 1:15,,available
Building 07,F1.01,25.0,Classroom,Tuesday,1:15- 2:00,,available
Building 07,F1.01,25.0,Classroom,Tuesday,2:15 - 3:00,,available
Building 07,F1.01,25.0,Classroom,Tuesday,3:00- 3:45,,available
Building 07,F1.01,25.0,Classroom,Wednesday,9 :00- 9:45,,available
Building 07,F1.01,25.0,Classroom,Wednesday,9:45- 10:30,,available
Building 07,F1.01,25.0,Classroom,Wednesday,10:45- 11:30,,available
Building 07,F1.01,25.0,Classroom,Wednesday,11:30- 12:15,,available
Building 07,F1.01,25.0,Classroom,Wednesday,12:30- 1:15,,available
Building 07,F1.01,25.0,Classroom,Wednesday,1:15- 2:00,,available
Building 07,F1.01,25.0,Classroom,Wednesday,2:15 - 3:00,,available
Building 07,F1.01,25.0,Classroom,Wednesday,3:00- 3:45,,available
Building 07,F1.01,25.0,Classroom,Thursday,9 :00- 9:45,,available
Building 07,F1.01,25.0,Classroom,Thursday,9:45- 10:30,,available
Building 07,F1.01,25.0,Classroom,Thursday,10:45- 11:30,,available
Building 07,F1.01,25.0,Classroom,Thursday,11:30- 12:15,,available
Building 07,F1.01,25.0,Classroom,Thursday,12:30- 1:15,,available
Building 07,F1.01,25.0,Classroom,Thursday,1:15- 2:00,,available
Building 07,F1.01,25.0,Classroom,Thursday,2:15 - 3:00,,available
Building 07,F1.01,25.0,Classroom,Thursday,3:00- 3:45,,available
Building 07,F1.02,25.0,Classroom,Sunday,9 :00- 9:45,,available
Building 07,F1.02,25.0,Classroom,Sunday,9:45- 10:30,,available
Building 07,F1.02,25.0,Classroom,Sunday,10:45- 11:30,,available
Building 07,F1.02,25.0,Classroom,Sunday,11:30- 12:15,,available
Building 07,F1.02,25.0,Classroom,Sunday,12:30- 1:15,,available
Building 07,F1.02,25.0,Classroom,Sunday,1:15- 2:00,,available
Building 07,F1.02,25.0,Classroom,Sunday,2:15 - 3:00,,available
Building 07,F1.02,25.0,Classroom,Sunday,3:00- 3:45,,available
Building 07,F1.02,25.0,Classroom,Monday,9 :00- 9:45,,available
Building 07,F1.02,25.0,Classroom,Monday,9:45- 10:30,,available
Building 07,F1.02,25.0,Classroom,Monday,10:45- 11:30,,available
Building 07,F1.02,25.0,Classroom,Monday,11:30- 12:15,,available
Building 07,F1.02,25.0,Classroom,Monday,12:30- 1:15,,available
Building 07,F1.02,25.0,Classroom,Monday,1:15- 2:00,,available
Building 07,F1.02,25.0,Classroom,Monday,2:15 - 3:00,,available
Building 07,F1.02,25.0,Classroom,Monday,3:00- 3:45,,available
Building 07,F1.02,25.0,Classroom,Tuesday,9 :00- 9:45,,available
Building 07,F1.02,25.0,Classroom,Tuesday,9:45- 10:30,,available
Building 07,F1.02,25.0,Classroom,Tuesday,10:45- 11:30,,available
Building 07,F1.02,25.0,Classroom,Tuesday,11:30- 12:15,,available
Building 07,F1.02,25.0,Classroom,Tuesday,12:30- 1:15,,available
Building 07,F1.02,25.0,Classroom,Tuesday,1:15- 2:00,,available
Building 07,F1.02,25.0,Classroom,Tuesday,2:15 - 3:00,,available
Building 07,F1.02,25.0,Classroom,Tuesday,3:00- 3:45,,available
Building 07,F1.02,25.0,Classroom,Wednesday,9 :00- 9:45,,available
Building 07,F1.02,25.0,Classroom,Wednesday,9:45- 10:30,,available
Building 07,F1.02,25.0,Classroom,Wednesday,10:45- 11:30,,available
Building 07,F1.02,25.0,Classroom,Wednesday,11:30- 12:15,,available
Building 07,F1.02,25.0,Classroom,Wednesday,12:30- 1:15,,available
Building 07,F1.02,25.0,Classroom,Wednesday,1:15- 2:00,,available
Building 07,F1.02,25.0,Classroom,Wednesday,2:15 - 3:00,,available
Building 07,F1.02,25.0,Classroom,Wednesday,3:00- 3:45,,available
