Day,start_time,end_time
Sunday,9.0000000,10.0000000
Sunday,10.0:45,12.0:15
Sunday,12.0:29,13.0:59
Sunday,14.0:15,15.0:45
Monday,9.0000000,10.0000000
Monday,10.0:45,12.0:15
Monday,12.0:29,13.0:59
Monday,14.0:15,15.0:45
Tuesday,9.0000000,10.0000000
Tuesday,10.0:45,12.0:15
Tuesday,12.0:29,13.0:59
Tuesday,14.0:15,15.0:45
Wednesday,9.0000000,10.0000000
Wednesday,10.0:45,12.0:15
Wednesday,12.0:29,13.0:59
Wednesday,14.0:15,15.0:45
Thursday,9.0000000,10.0000000
Thursday,10.0:45,12.0:15
Thursday,12.0:29,13.0:59
Thursday,14.0:15,15.0:45
